docname	filename	year	pubtitle	pre	keyword	post
text391106	1943-05-29_165430991_1_page0.txt	1943	LAT	Mr .	Reuther	then proceeded to attack
text391118	1943-05-29_165430991_1_page0.txt	1943	LAT	objections specific , Mr .	Reuther	said that
text391124	1943-05-29_165430991_1_page0.txt	1943	LAT	Just before Pearl Harbor , Mr .	Reuther	
text391138	1943-05-29_165430991_1_page0.txt	1943	LAT	ing support to the	Reuther	plan—that
text391141	1943-05-29_165430991_1_page0.txt	1943	LAT	been better had Mr .	Reuther	helped to
text391144	1943-05-29_165430991_1_page0.txt	1943	LAT		Reuther's	whole argument at the Town
text77308	batch7_285_page0.txt	1946	Newsweek	The arguments which we hear from both sides of the current labor-management war illustrate the lag between fact and theory . There is scarcely a single principle on which Messrs . Murray , Wilson , Fairless and	Reuther	can agree . And without a common economic language , how can there be collective bargaining ? Concepts like " ability to pay " mean all things to all men . Occasionally , we still hear talk of labor as a commodity , although that concept has been legally ,
text347877	1949-05-18_165951496_1_page0.txt	1949	LAT		Reuther	is said to have assured
text349454	1949-02-02_165920554_1_page0.txt	1949	LAT	Walter	Reuther	is following the
text59250	batch7_51_page0.txt	1950	Newsweek	the	Reuthers	, and with junior
text60536	batch7_66_page0.txt	1950	Newsweek	delivered over to a	Reuther	, a Lewis ,
text334572	1950-08-16_166092565_1_page0.txt	1950	LAT		Reuther	of the United Automobile Workers .
text334574	1950-08-16_166092565_1_page0.txt	1950	LAT	On July 20	Reuther	addressed a letter to the heads
text334586	1950-08-16_166092565_1_page0.txt	1950	LAT	done about it . The	Reuther	
text334593	1950-08-16_166092565_1_page0.txt	1950	LAT	the	Reuther	methods to engage
text334602	1950-08-16_166092565_1_page0.txt	1950	LAT	or of	Reuther's	union .
text57962	batch7_33_page0.txt	1951	Newsweek	that UAW president Walter	Reuther	
text312487	1951-12-14_166300476_1_page0.txt	1951	LAT		REUTHER'S	
text312495	1951-12-14_166300476_1_page0.txt	1951	LAT	pianism . Walter	Reuther	at a
text312520	1951-12-14_166300476_1_page0.txt	1951	LAT	the	Reuther	statement is that
text312540	1951-12-14_166300476_1_page0.txt	1951	LAT	which	Reuther	is a consistent
text312548	1951-12-14_166300476_1_page0.txt	1951	LAT	swered , " The	Reuther	broth -
text312553	1951-12-14_166300476_1_page0.txt	1951	LAT		Reuther	over the past dozen
text312555	1951-12-14_166300476_1_page0.txt	1951	LAT		Reuther	, however , cannot
text312562	1951-12-14_166300476_1_page0.txt	1951	LAT	cian like	Reuther	.
text306278	1952-07-29_166347443_1_page0.txt	1952	LAT	and Kroll and	Reuther	and
text306717	1952-08-01_166340018_1_page0.txt	1952	LAT	and	Reuther	that made Ste -
text290306	1953-12-11_166581633_1_page0.txt	1953	LAT		REUTHER'S	
text290314	1953-12-11_166581633_1_page0.txt	1953	LAT	Walter	Reuther's	sword -
text290425	1953-12-11_166581633_1_page0.txt	1953	LAT	of Walter	Reuther	comes
text290434	1953-12-11_166581633_1_page0.txt	1953	LAT		Reuther	mind .
text43163	batch6_143_page0.txt	1954	Newsweek	Walter	Reuther	, are seeking
text43238	batch6_143_page0.txt	1954	Newsweek		Reuther	is ideologically an authentic
text43263	batch6_143_page0.txt	1954	Newsweek		Reuther	would anticipate all this by a
text43268	batch6_143_page0.txt	1954	Newsweek	that	Reuther	would anticipate ,
text43288	batch6_144_page0.txt	1954	Newsweek	the means to do that should be the major task of Republican leadership . And this should be started at once . Taft did it in 1950 in Ohio . It can be done elsewhere and what is most important , it can be done without making a compromise with	Reuther's	socialism .
text273870	1954-11-19_166711100_1_page0.txt	1954	LAT	But no such loyalty to company has been the rule in the hard-bitten policies of the union that Walter	Reuther	bosses .
text39616	batch6_96_page0.txt	1955	Newsweek	WALTER	REUTHER	made the happy boast last spring that the " UAW-CIO have won the guaranteed wage in the automobile industry , " and hailed it as a historic event . Harlow H . Curtice of General Motors later offered the understatement of the year . He said that the plan to
text39617	batch6_96_page0.txt	1955	Newsweek	In the first place , it is getting over to the public , including	Reuther's	union members , that what was won is not a guaranteed wage at all . It is merely an amount paid into a trust fund by the companies to supplement the unemployment compensation paid by the states under certain very onerous conditions .
text39623	batch6_96_page0.txt	1955	Newsweek	the UAW . Leaders of the CIO also claim that the finances for this drive come from their members in the state . But it is not clear that this will not be balanced by payments withheld later from the national union . Moreover , the strategy and inspiration are	Reuther's	.
text39624	batch6_96_page0.txt	1955	Newsweek		REUTHER	, with his back to a wall of his own construction , has already been handicapped in Cleveland , where most of his majority must be found . For in the primary a popular mayor won so large a vote that there is no contest for that office in this
text39624	batch6_96_page0.txt	1955	Newsweek	primary a popular mayor won so large a vote that there is no contest for that office in this election . That will no doubt mean a light vote . Moreover , the perennially popular Governor Lausche has reiterated his opposition to the bill . It may well be that	Reuther	will find his so-called GAW victory , like Byron's Dead Sea apples , " all ashes to the taste . "
text39645	batch6_97_page0.txt	1955	Newsweek		Reuther’s	UAW-CIO attempted
text39684	batch6_97_page0.txt	1955	Newsweek	of	Reuther’s	guaranteed annual
text39717	batch6_97_page0.txt	1955	Newsweek	imposition of laws written by	Reuther’s	
text39726	batch6_97_page0.txt	1955	Newsweek	For the	Reuther	formula is first to win
text41691	batch6_121_page0.txt	1955	Newsweek		Reuther's	demands pro -
text41721	batch6_121_page0.txt	1955	Newsweek	2—Another of	Reuther's	demands
text41776	batch6_121_page0.txt	1955	Newsweek	tial of	Reuther's	strategic minority .
text41780	batch6_121_page0.txt	1955	Newsweek		Reuther	, for the establishment of
text41920	batch6_126_page0.txt	1955	Newsweek	What Does	Reuther	Want ?
text41931	batch6_126_page0.txt	1955	Newsweek		Reuther	. Does he want to be the
text41945	batch6_126_page0.txt	1955	Newsweek		Reuther's	problems as a labor chief -
text41954	batch6_126_page0.txt	1955	Newsweek	cept the advanced	Reuther	ideology .
text41957	batch6_126_page0.txt	1955	Newsweek	In speculation concerning	Reuther's	
text41978	batch6_126_page0.txt	1955	Newsweek	were the	Reuther	brothers . Reuther
text41978	batch6_126_page0.txt	1955	Newsweek	were the Reuther brothers .	Reuther	
text41983	batch6_126_page0.txt	1955	Newsweek		Reuther	is a man of plans and plan -
text42019	batch6_126_page0.txt	1955	Newsweek	Walter	Reuther	deep in the fight .
text42029	batch6_126_page0.txt	1955	Newsweek		Reuther	already has made himself
text42696	batch6_133_page0.txt	1955	Newsweek	no larger than a	Reuther’s	hand to
text258341	1955-12-20_166894972_1_page0.txt	1955	LAT	over Meany and	Reuther	,
text260981	1955-09-13_166851071_1_page0.txt	1955	LAT	of	Reuther	and Kroll the
text260999	1955-09-13_166851071_1_page0.txt	1955	LAT	as exactly what	Reuther	
text261478	1955-11-01_166844661_1_page0.txt	1955	LAT		Reuther	flashed a dazzling
text261480	1955-11-01_166844661_1_page0.txt	1955	LAT	phers ,	Reuther's	United
text261500	1955-11-01_166844661_1_page0.txt	1955	LAT		Reuther's	misleading
text261594	1955-11-01_166844661_1_page0.txt	1955	LAT	that	Reuther	has taken a
text261605	1955-11-01_166844661_1_page0.txt	1955	LAT	there . If	Reuther's	UAW
text261953	1955-10-13_166836034_1_page0.txt	1955	LAT	The national significance of this fight is that it is the first big test of the	Reuther	political apparatus since the merger of the CIO and AFL . It will also bring into sharp perspective the place of Gov . Lausche in the Democratic political " picture .
text265503	1955-06-28_166786776_1_page0.txt	1955	LAT	medicine from the	Reuther	
text265511	1955-06-28_166786776_1_page0.txt	1955	LAT	Walter	Reuther	then offered strong objections to
text265532	1955-06-28_166786776_1_page0.txt	1955	LAT		Reuther	succeeded , and
text267374	1955-05-11_166762259_1_page0.txt	1955	LAT	Walter	Reuther	is the chair -
text272855	1955-02-17_166716411_1_page0.txt	1955	LAT		Reuther	and Meany would
text35640	batch6_40_page0.txt	1956	Newsweek		Reuther's	Long Arm
text35648	batch6_40_page0.txt	1956	Newsweek	The long list of contributors includes Walter	Reuther's	UAW for $ 4,000 , his CIO for $ 5,000 , and also the Oregon and Washington CIO's for smaller amounts . The Steelworkers chipped in $ 4,000 , and the Union of Operating Engineers , $ 5,000 . Most strange are contributions in sizable amounts from the International Ladies
text35651	batch6_40_page0.txt	1956	Newsweek	It is of great general interest to note that powerful unions are using methods of this sort to penetrate state after state far removed from the industrial centers in which most of their members work and live . It might well indicate how	Reuther	, et al . , are now aiming at the control of the Democratic Party and , with it , the government of smaller states . They are not only easier to capture , but are greatly overrepresented , populationwise , in the Senate . Yesterday it was Michigan .
text35651	batch6_40_page0.txt	1956	Newsweek	, in the Senate . Yesterday it was Michigan . Today it is Oregon , Colorado , and Washington . Tomorrow it may be the Dakotas , New Mexico , Arizona , and Wyoming . A state need not be industrial to be union-controlled . What better investment could Walter	Reuther	make than to support a cause dear to the hearts of Senators Morse , Magnuson , Jackson , Murray , and others ? Strong as the COPE will be in the next House , its influence in the Senate will be greater and will grow more rapidly .
text35992	batch6_45_page0.txt	1956	Newsweek	subsidiaries of the Democratic Party such as the AFL-CIO Committee on Political Education charged , without the benefit of proof , that private industry was dragging its feet while other nations were forging ahead . Hence the job should be taken over by the Federal government . Meanwhile , Walter	Reuther's	UAW was bitterly opposing the construction of an atomic-power plant by Detroit Edison and others , although the AFL-CIO legislative report said in so many words that private industry had not entered the field and developed " the needed reactors " and that " both Soviet Russia and Great Britain
text36055	batch6_46_page0.txt	1956	Newsweek	There is more of Walter	Reuther	
text36059	batch6_46_page0.txt	1956	Newsweek		Reuther	and his associates have what
text36135	batch6_47_page0.txt	1956	Newsweek	The maunderings of Stevenson and the meanderings of Kefauver are the shadows of this campaign . The reality is the massive , disciplined , ruthless machine conceived and created by Walter	Reuther	and pleasantly designated as the AFL-CIO Committee on Political Education—COPE .
text36140	batch6_47_page0.txt	1956	Newsweek	If Walter	Reuther	had been pulling the strings directly , the Democrats in the 37 states outside the South could hardly have obeyed with more servility . For of all the 26 Democratic senators in those states , twelve had a perfect score and seven deviated only once . Of the 132 House
text36142	batch6_47_page0.txt	1956	Newsweek	in the Senate , and 80 per cent in the House . In the next Congress the parity between COPE and Democracy may be nearer 100 per cent . With COPE providing most of the money and manpower in Senatorial and Congressional races , the substance of power is with	Reuther	, et al . , while the name Democratic is merely a convenient reminder of the past .
text36143	batch6_47_page0.txt	1956	Newsweek	. It remains to be seen whether in the years ahead those American citizens who have joined unions to serve their legitimate economic interests are going to be willing to serve as pawns—paying pawns—in this movement . For they are being exploited merely to serve the personal political ambitions of	Reuther	and others .
text36507	batch6_53_page0.txt	1956	Newsweek	I am not suggesting here a conflict of economic groups . Class government comes not from a multiplicity of groups active in politics , but from the withholding of some while others take over . That is exactly what happened in Michigan , where the	Reuther	CIO-PAC took over the Democratic Party and then used it to dominate the government of the state .
text36509	batch6_53_page0.txt	1956	Newsweek	in the community and in national life are stressed and common ground is created for all . Union members themselves do not want to be a detached group in the community , concerned only with union interests and obeying at the polls the orders of a few politician-bosses like the	Reuthers	. Politics for them , as for all of us , should concern the whole of human life .
text36581	batch6_56_page0.txt	1956	Newsweek		Reuthers	are interested in who is
text37241	batch6_66.txt	1956	Newsweek	The	Reuther	war chest is probably
text38930	batch6_89_page0.txt	1956	Newsweek	Good . But could not escape	Reuther	
text245406	1956-11-22_167062881_1_page0.txt	1956	LAT	Reports from Detroit indicate that , while there is no doubt about Gov . Mennen Williams being Walter	Reuther's	man , it is also true that the size of the Governor's victory—286,000 over Detroit's Mayor Albert E . Cobo , 66.8 % of the vote in Detroit , and 47.6 % in the rest of the State—is to a considerable extent due to reasons personal to the young man
text245409	1956-11-22_167062881_1_page0.txt	1956	LAT	It is further reported that	Reuther	had a large part in the nomination of Stevenson . He was reported to have done a lot of long-distance masterminding in Stevenson's campaign , but the Eisenhower margin of 355,000 is no tribute to the CIO leader's command of his own State .
text245410	1956-11-22_167062881_1_page0.txt	1956	LAT	In any event , at this writing	Reuther	is still vacationing somewhere and has been inaccessible to the press since the election .
text248374	1956-10-04_167015295_1_page0.txt	1956	LAT		Reuther	by coming out
text249236	1956-09-05_166996171_1_page0.txt	1956	LAT	the idea of an endorsement of either candidate for President , but since a majority of the council preferred Stevenson he would go along . Meany limited the participation of the COPE in the conventions to the appearance of a representative at the hearings on the platforms . Leaders like	Reuther	and others were there as delegates of the parties or strictly on their own .
text249239	1956-09-05_166996171_1_page0.txt	1956	LAT	Another motive that concerns Meany is that the deep attachment that	Reuther	has already made with the Democratic Party would , if the Democratic liaison with the unions became a legitimate marriage , give the Michigan man greater influence in the party than any other labor leader .
text250456	1956-07-03_166977307_1_page0.txt	1956	LAT	Walter	Reuther	, Murphy
text250479	1956-07-03_166977307_1_page0.txt	1956	LAT		Reuther	, the joint organization
text250502	1956-07-03_166977307_1_page0.txt	1956	LAT	likely that	Reuther	would
text250534	1956-07-03_166977307_1_page0.txt	1956	LAT	was distressed at	Reuther's	
text250536	1956-07-03_166977307_1_page0.txt	1956	LAT	that	Reuther	was not speaking
text250985	1956-05-18_166972318_1_page0.txt	1956	LAT	tor and Roy	Reuther	will
text252216	1956-07-11_166959354_1_page0.txt	1956	LAT	of Economic Adviser Arthur Burns that the economy was basically sound and that his group was thinking less about government spending and more of shifts in monetary policy and tax reduction . By November , however , there was more alarm , and Democrats like Sen . Douglas and Walter	Reuther	were crying for a dose of New Deal spending stimulation . Meanwhile , with the new year , unemployment continued to rise , and the President began to toy with all sorts of spending ideas . ★ Humphrey stood by his belief in private spending and so expressed himself at
text254107	1956-03-27_166923452_1_page0.txt	1956	LAT	a rival , of Walter	Reuther	
text254646	1956-04-13_166915845_1_page0.txt	1956	LAT	well before	Reuther	took it
text32543	batch5_42_page0.txt	1957	Newsweek		Reuther	appeared .
text32814	batch5_44_page0.txt	1957	Newsweek	and from Walter	Reuther	of the
text32824	batch5_44_page0.txt	1957	Newsweek	into operation .	Reuther	and others
text32836	batch5_44_page0.txt	1957	Newsweek		Reuther	has in mind in his bitter
text32848	batch5_44_page0.txt	1957	Newsweek		REUTHER'S	PURPOSE
text32859	batch5_44_page0.txt	1957	Newsweek	closely allied in politics with	Reuther	,
text32873	batch5_44_page0.txt	1957	Newsweek	Apparently	Reuther's	purpose is to
text33402	batch6_5_page0.txt	1957	Newsweek	marginal Democratic counties have become solidly Democratic . This trend has been especially notable in the sparsely settled areas in the north , on the eastern border , and in the lush San Joaquin Valley . This is evidence of the recent AFL-CIO strategy , no doubt created by Walter	Reuther	, of seeking Congressional seats where the attack is least expected and where the most seats can be gained with the least expenditure of money and manpower . Alliances in such areas are made with public-power zealots , radical farmers , and other collectivist groups . Obvious examples are the
text34739	batch6_24_page0.txt	1957	Newsweek	And now comes the unctuous Walter	Reuther	, who realizes that
text34745	batch6_24_page0.txt	1957	Newsweek	passed upon at the conventions of the union . In short ,	Reuther	wants a re -
text34747	batch6_24_page0.txt	1957	Newsweek	This is the same Walter	Reuther	who over the years has wanted con -
text34751	batch6_24_page0.txt	1957	Newsweek	scrutiny for everybody but	Reuther	!
text228682	1957-06-18_167083773_1_page0.txt	1957	LAT	ter	Reuther's	United Auto -
text228724	1957-06-18_167083773_1_page0.txt	1957	LAT	like Walter	Reuther	is sub -
text230107	1957-05-14_167121625_1_page0.txt	1957	LAT	ite with Walter	Reuther	
text230699	1957-04-26_167108396_1_page0.txt	1957	LAT	MR .	REUTHER	ON TV
text230703	1957-04-26_167108396_1_page0.txt	1957	LAT		Reuther	, head of the CIO
text230733	1957-04-26_167108396_1_page0.txt	1957	LAT	abled	Reuther	to make the
text230739	1957-04-26_167108396_1_page0.txt	1957	LAT	and , as	Reuther	said at
text230762	1957-04-26_167108396_1_page0.txt	1957	LAT	ignorant ) , the	Reuther	
text230770	1957-04-26_167108396_1_page0.txt	1957	LAT	opportunity for	Reuther	
text230787	1957-04-26_167108396_1_page0.txt	1957	LAT		Reuther	indicated that
text230831	1957-04-26_167108396_1_page0.txt	1957	LAT	Mr .	Reuther's	defense
text230847	1957-04-26_167108396_1_page0.txt	1957	LAT	and , of course ,	Reuther	
text231176	1957-04-17_167076912_1_page0.txt	1957	LAT		Reuther's	union . " Then he No doubt , Msgr . Higgins
text231178	1957-04-17_167076912_1_page0.txt	1957	LAT	" loudly cheered " when he with Mr .	Reuther	, since in
text231181	1957-04-17_167076912_1_page0.txt	1957	LAT	stamp , he is just as crazy dorsed the	Reuther	de -
text231188	1957-04-17_167076912_1_page0.txt	1957	LAT	whether	Reuther	would be of Msgr . Higgins in his
text231193	1957-04-17_167076912_1_page0.txt	1957	LAT	largely by	Reuther	him - tween them . This relation -
text231203	1957-04-17_167076912_1_page0.txt	1957	LAT	while Mr .	Reuther	in all of recognition that past prac -
text231306	1957-04-10_167120817_1_page0.txt	1957	LAT	head , Walter	Reuther	, sub -
text232244	1957-03-21_167063332_1_page0.txt	1957	LAT		Reuther	, takes your money
text233132	1957-03-01_167080761_1_page0.txt	1957	LAT		Reuther	would have it , but
text236076	1957-12-24_167148674_1_page0.txt	1957	LAT	ago by Walter	Reuther	of
text236092	1957-12-24_167148674_1_page0.txt	1957	LAT	Mr .	Reuther's	offer was
text236096	1957-12-24_167148674_1_page0.txt	1957	LAT	out having Mr .	Reuther	
text236107	1957-12-24_167148674_1_page0.txt	1957	LAT	Walter	Reuther	, as well as
text236111	1957-12-24_167148674_1_page0.txt	1957	LAT		Reuther	. "
text236147	1957-12-24_167148674_1_page0.txt	1957	LAT	supplying	Reuther	with
text236199	1957-12-24_167148674_1_page0.txt	1957	LAT	ed by	Reuther	.
text237816	1957-11-16_167166862_1_page0.txt	1957	LAT	settled policy of	Reuther	
text238511	1957-11-01_167151674_1_page0.txt	1957	LAT		Reuther	brothers . "
text238586	1957-10-31_167137217_1_page0.txt	1957	LAT	ly indebted to the	Reuther	-
text238642	1957-10-31_167137217_1_page0.txt	1957	LAT	Walter	Reuther	and oth -
text240837	1957-09-14_167111684_1_page0.txt	1957	LAT	tute Walter	Reuther	, but
text241319	1957-08-31_167163563_1_page0.txt	1957	LAT	against	Reuther's	UAW
text242544	1957-08-09_167139509_1_page0.txt	1957	LAT	to another	Reuther	duchy
text242649	1957-08-06_167174646_1_page0.txt	1957	LAT	ment like Walter	Reuther	
text242677	1957-08-06_167174646_1_page0.txt	1957	LAT		Reuther	and company
text242691	1957-08-06_167174646_1_page0.txt	1957	LAT	are indebted to the	Reuther	
text243088	1957-08-01_167188669_1_page0.txt	1957	LAT	ter	Reuther's	United Auto -
text243093	1957-08-01_167188669_1_page0.txt	1957	LAT	their leader ,	Reuther	, to
text243115	1957-08-01_167188669_1_page0.txt	1957	LAT	appear :	Reuther's	UAW ,
text30022	batch4_43_page0.txt	1958	Newsweek	letter with a union-dominated governor and legislature . The Democratic platform adopted in August was only reluctantly made available to the public in October . It is a formidable , reckless , radical mass of proposals . One provision would put into the law an idea , fostered by Walter	Reuther	during the Kohler strike , which would deny purchases by any state agency from a producer “ charged with unfair labor practices or against whom a strike is being conducted by a bona fide union . ” Another proposal , to abolish the state sales tax and increase the income
text30160	batch5_4_page0.txt	1958	Newsweek	there as it virtually has in Rhode Island and Michigan . Thus , in California , Knowland saw his inexorable duty . His bluntly stated reasons for running for governor were : “ I do not intend to sit complacently by and allow California to become a satellite of Walter	Reuther’s	labor-political empire . There is a job to be done in California . ” ( He would now add Hoffa to Reuther , since the Teamsters ’ boss has taken a hand in the California campaign . ) Knowland did not spell this out , and so his enemies opened
text30160	batch5_4_page0.txt	1958	Newsweek	His bluntly stated reasons for running for governor were : “ I do not intend to sit complacently by and allow California to become a satellite of Walter Reuther’s labor-political empire . There is a job to be done in California . ” ( He would now add Hoffa to	Reuther	, since the Teamsters ’ boss has taken a hand in the California campaign . ) Knowland did not spell this out , and so his enemies opened fire upon his motives .
text30168	batch5_5_page0.txt	1958	Newsweek	Essence of	Reutherism	
text30171	batch5_5_page0.txt	1958	Newsweek	Walter	Reuther	was recently
text30177	batch5_5_page0.txt	1958	Newsweek	the strands of	Reuther's	philosophy
text30202	batch5_5_page0.txt	1958	Newsweek	ration with	Reuther	.
text30203	batch5_5_page0.txt	1958	Newsweek	It has been clear that	Reuther's	ef -
text30214	batch5_5_page0.txt	1958	Newsweek	The objective in all	Reuther	strat -
text30228	batch5_5_page0.txt	1958	Newsweek	On many occasions	Reuther	has made clear that this super-group
text30235	batch5_5_page0.txt	1958	Newsweek	says	Reuther	, " has got to be economic
text30260	batch5_5_page0.txt	1958	Newsweek		Reuther's	ridiculous claim is that
text30273	batch5_5_page0.txt	1958	Newsweek		Reuther	. He will reward the party by
text30276	batch5_5_page0.txt	1958	Newsweek		Reuther	says in conclusion that " the
text30306	batch5_7_page0.txt	1958	Newsweek	The Conference on Economic Progress titled “ The Recession—Cause and Cure . ” Its principal author is apparently Leon Keyserling , President Truman’s Council of Economic Advisers chairman , who is now president of the “ conference . ” A group of sponsors includes three union officials , including Walter	Reuther	, five farm leaders committed to inflationary policies , three ex-members of the Roosevelt-Truman regime , and five not-well-known businessmen .
text31065	batch5_20_page0.txt	1958	Newsweek	Walter	Reuther	came through
text31071	batch5_20_page0.txt	1958	Newsweek	it was made clear that either	Reuther	
text31083	batch5_20_page0.txt	1958	Newsweek	who now conclude that	Reuther	won
text31085	batch5_20_page0.txt	1958	Newsweek	only a general delineation of	Reuther's	
text31099	batch5_20_page0.txt	1958	Newsweek		Reuther's	significance in the general
text31106	batch5_20_page0.txt	1958	Newsweek		Reuther's	undisputed purity in his pri -
text31108	batch5_20_page0.txt	1958	Newsweek	committee to the	Reuther	inquiry , and
text31109	batch5_20_page0.txt	1958	Newsweek	later to an attempt to have	Reuther	
text31113	batch5_20_page0.txt	1958	Newsweek		Reuther	and his counsel , Joseph L .
text31117	batch5_20_page0.txt	1958	Newsweek		Reuther's	staff who were flitting about
text31139	batch5_20_page0.txt	1958	Newsweek	UAW of which	Reuther	is the head .
text31151	batch5_20_page0.txt	1958	Newsweek		Reuther	at the door of the local . He
text31154	batch5_20_page0.txt	1958	Newsweek	Men responsible to	Reuther	, such
text31165	batch5_20_page0.txt	1958	Newsweek	order . Not	Reuther	but the authorities
text31201	batch5_22_page0.txt	1958	Newsweek	margin between the parties , may well assure a Democratic House majority for years to come . And considering the rapidity with which the power of the AFL-CIO Committee on Political Education ( COPE ) is growing , the balance of power will be with the machine of which Walter	Reuther	is master .
text31360	batch5_25_page0.txt	1958	Newsweek	The mastermind of COPE is Walter	Reuther	, chief of the CIO and of the UAW—the latter the most politically potent of all unions and , except for the Teamsters , the largest in membership . Already many members of the Senate and House owe their offices to him . Goldwater and Knowland are outstanding exceptions .
text31366	batch5_25_page0.txt	1958	Newsweek	him a national figure . The people of the state are proud of this , just as the citizens of California are of their native son , Knowland . Goldwater’s vigorous turning of a reluctant McClellan committee from the Beck-Hoffa behavior to the deeper and vastly more important issues of	Reuther’s	strikes and imperial ambitions suggests what the Arizona campaign will be like . It will be similar in national import to the 1950 campaign in Ohio , when the union bosses threw all they had against the late Senator Taft . There will be hard work and hard hitting before
text210256	1958-12-24_167381313_1_page0.txt	1958	LAT		Reuther	et al . form a la -
text211007	1958-12-12_167389345_1_page0.txt	1958	LAT	support from	Reuther	and
text212478	1958-11-18_167374112_1_page0.txt	1958	LAT		Reuther	that he wants no
text213923	1958-10-24_167313532_1_page0.txt	1958	LAT	of	Reutherism	in this cam -
text214787	1958-10-11_167321025_1_page0.txt	1958	LAT	Walter	Reuther	formu -
text214899	1958-10-10_167330939_1_page0.txt	1958	LAT	It is long and repetitious but a few points can be summarized in my space . Outstanding in it is a provision which mirrors the tactics of Walter	Reuther	in the long and violent Kohler strike . It says that legislation should be enacted providing that it is against public policy for State and county agencies to purchase materials from producers " charged with unfair labor practices or against whom a strike is being conducted by a bona fide
text216675	1958-09-06_167371069_1_page0.txt	1958	LAT		Meany-Reuther	Committee
text217459	1958-08-12_167247511_1_page0.txt	1958	LAT	Walter	Reuther's	long -
text217560	1958-08-12_167247511_1_page0.txt	1958	LAT		Reuther	gets himself in -
text217907	1958-08-07_167386237_1_page0.txt	1958	LAT	to which the head of the UAW and some of his friends among " liberal " Senators would push the automobile industry into agreements which might well produce a planned economy in a single industry and open the way to its extension generally . It is freely admitted by Walter	Reuther	that when he first exacted a pension plan from Ford his real objective was to force government to increase its own Social Security benefits . And when the supplementary unemployment benefit plan was demanded of the automobile companies , Reuther's obvious purpose was to get the companies on his side
text217907	1958-08-07_167386237_1_page0.txt	1958	LAT	its extension generally . It is freely admitted by Walter Reuther that when he first exacted a pension plan from Ford his real objective was to force government to increase its own Social Security benefits . And when the supplementary unemployment benefit plan was demanded of the automobile companies ,	Reuther's	obvious purpose was to get the companies on his side in a drive in the States to liberalize their unemployment benefits .
text217909	1958-08-07_167386237_1_page0.txt	1958	LAT	All such moves are a part of the	Reutherian	strategy to create a planned and regimented economy—in part through his maneuvers at the bargaining table and in part through the power of his union in electing Congressmen and Senators . The highly concentrated automobile industry and the huge UAW provide excellent beginnings for such a collectivist trend . It
text217909	1958-08-07_167386237_1_page0.txt	1958	LAT	through his maneuvers at the bargaining table and in part through the power of his union in electing Congressmen and Senators . The highly concentrated automobile industry and the huge UAW provide excellent beginnings for such a collectivist trend . It is this that the companies which must deal with	Reuther	must keep in mind . Their responsibility lies not just to their own company interests but to the economy and American institutions generally . When Charles E . Wilson said , in effect , that what was good for General Motors was good for the United States , and that
text217909	1958-08-07_167386237_1_page0.txt	1958	LAT	for General Motors was good for the United States , and that what was good for the United States was good for General Motors , I heartily agreed . But the second part of that statement needs to be kept consistently in mind when dealing with a dedicated planner like	Reuther	.
text220698	1958-06-02_167323581_1_page0.txt	1958	LAT	candidates backed by the	Reuther	machine have
text220711	1958-06-02_167323581_1_page0.txt	1958	LAT	that the vast political designs of	Reuther	are not
text220745	1958-06-02_167323581_1_page0.txt	1958	LAT	Williams and	Reuther	can understand and fear .
